date,week,ws,tce_usd_day,source,note
2022-03-25,2022-12,36,-18900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-12.html,
2022-04-01,2022-13,43.5,-8600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-13.html,
2022-04-08,2022-14,53.5,3600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-14.html,
2022-04-22,2022-16,50,-1800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-16.html,
2022-04-29,2022-17,47,-2800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-17.html,
2022-05-06,2022-18,44.7,-8300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-18.html,
2022-05-13,2022-19,40,-10800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-19.html,
2022-05-20,2022-20,40,-16800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-20.html,
2022-05-27,2022-21,41.6,-17800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-21.html,
2022-06-10,2022-23,45,-22200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-23.html,
2022-06-17,2022-24,45,-20300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-24.html,
2022-06-24,2022-25,49,-14600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-25.html,
2022-07-01,2022-26,55,-10600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-26.html,
2022-07-08,2022-27,56.5,-5400,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-27.html,
2022-07-15,2022-28,58,-700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-28.html,
2022-07-22,2022-29,61.5,4800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-29.html,
2022-07-29,2022-30,59,9100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-30.html,
2022-08-05,2022-31,57.5,13200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-31.html,
2022-08-12,2022-32,60,16900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-32.html,
2022-08-19,2022-33,80,40800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-33.html,
2022-08-26,2022-34,80.64,37270,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-34.html,
2022-09-02,2022-35,75.73,35013,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-35.html,
2022-09-09,2022-36,70.5,31700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-36.html,
2022-09-16,2022-37,88,50600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-37.html,
2022-09-23,2022-38,104,68600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-38.html,
2022-09-30,2022-39,85,50100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-39.html,
2022-10-07,2022-40,81,41700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-40.html,
2022-10-14,2022-41,87.5,47800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-41.html,
2022-10-21,2022-42,107.5,72199,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-42.html,
2022-10-28,2022-43,98,62800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-43.html,
2022-11-04,2022-44,106.5,71900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-44.html,
2022-11-11,2022-45,113,79700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-45.html,
2022-11-18,2022-46,128,96400,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-46.html,
2022-11-25,2022-47,109.75,76854,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-47.html,
2022-12-02,2022-48,86,50600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-48.html,
2022-12-09,2022-49,72.5,40500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-49.html,
2022-12-16,2022-50,82.88,50700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-50.html,
2023-01-06,2023-1,53.27,31800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-1.html,
2023-01-13,2023-2,44.68,18500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-2.html,
2023-01-20,2023-3,46.73,18100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-3.html,
2023-01-27,2023-4,47.73,17900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-4.html,
2023-02-03,2023-5,49.27,20300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-5.html,
2023-02-10,2023-6,53,26500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-6.html,
2023-02-17,2023-7,66.32,46125,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-7.html,
